,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
280,57,1994,Quatro por  Quatro,426,GLOBO ,NOVELAS DAS 19H,quatroporquatro1994
281,58,1995,Cara &  Coroa,401,GLOBO ,NOVELAS DAS 19H,caraecoroa1995
282,59,1996,Vira Lata,360,GLOBO ,NOVELAS DAS 19H,viralata1996
283,60,1996,Salsa e  Merengue,348,GLOBO ,NOVELAS DAS 19H,salsaemerengue1996
284,61,1997,Zazá,312,GLOBO ,NOVELAS DAS 19H,zaza1997
285,62,1998,Corpo  Dourado,365,GLOBO ,NOVELAS DAS 19H,corpodourado1998
286,63,1998,Meu Bem  Querer,323,GLOBO ,NOVELAS DAS 19H,meubemquerer1998
287,64,1999,Andando nas  Nuvens,328,GLOBO ,NOVELAS DAS 19H,andandonasnuvens1999
288,65,1999,Vila  Madalena,316,GLOBO ,NOVELAS DAS 19H,vilamadalena1999
289,66,,,,GLOBO ,NOVELAS DAS 19H,
291,68,2000,Uga-Uga,378,GLOBO ,NOVELAS DAS 19H,ugauga2000
292,69,2001,Um Anjo  Caiu do Céu,336,GLOBO ,NOVELAS DAS 19H,umanjocaiudoceu2001
293,70,2001,As Filhas  da Mãe,280,GLOBO ,NOVELAS DAS 19H,asfilhasdamae2001
294,71,2002,Desejos de  Mulher,329,GLOBO ,NOVELAS DAS 19H,desejosdemulher2002
295,72,2002,O Beijo do  Vampiro,283,GLOBO ,NOVELAS DAS 19H,obeijodovampiro2002
296,73,2003,Kubanacan,347,GLOBO ,NOVELAS DAS 19H,kubanacan2003
297,74,2004,Da Cor do  Pecado,426,GLOBO ,NOVELAS DAS 19H,dacordopecado2004
298,75,2004,Começar de  Novo,311,GLOBO ,NOVELAS DAS 19H,comecardenovo2004
299,76,2005,A Lua Me  Disse,332,GLOBO ,NOVELAS DAS 19H,aluamedisse2005
300,77,2005,Bang Bang,276,GLOBO ,NOVELAS DAS 19H,bangbang2005
301,78,2006,Cobras  & Lagartos,383,GLOBO ,NOVELAS DAS 19H,cobraselagartos2006
302,79,2006,Pé na Jaca,298,GLOBO ,NOVELAS DAS 19H,penajaca2006
303,80,2007,Sete  Pecados,296,GLOBO ,NOVELAS DAS 19H,setepecados2007
304,81,2008,Beleza Pura,280,GLOBO ,NOVELAS DAS 19H,belezapura2008
305,82,2008,Três Irmãs,244,GLOBO ,NOVELAS DAS 19H,tresirmas2008
306,83,2009,Caras &  Bocas,310,GLOBO ,NOVELAS DAS 19H,carasebocas2009
307,84,,,,GLOBO ,NOVELAS DAS 19H,
