,0,1,2,Emissora,Horario
25,1979,Os Gigantes,493,GLOBO ,NOVELAS DAS 21H
26,,,,GLOBO ,NOVELAS DAS 21H
27,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
28,1980,Água Viva,580,GLOBO ,NOVELAS DAS 21H
29,1980,Coração  Alado,569,GLOBO ,NOVELAS DAS 21H
30,1981,Baila  Comigo,555,GLOBO ,NOVELAS DAS 21H
31,1981,Brilhante,446,GLOBO ,NOVELAS DAS 21H
32,1982,Sétimo  Sentido,460,GLOBO ,NOVELAS DAS 21H
33,1982,Sol de  Verão,445,GLOBO ,NOVELAS DAS 21H
34,1983,Louco Amor,495,GLOBO ,NOVELAS DAS 21H
35,1983,Champagne,467,GLOBO ,NOVELAS DAS 21H
36,1984,Partido  Alto,469,GLOBO ,NOVELAS DAS 21H
37,1984,Corpo a  Corpo,527,GLOBO ,NOVELAS DAS 21H
38,1985,Roque  Santeiro,626,GLOBO ,NOVELAS DAS 21H
